Date,Consumption,Temperature,Humidity,Wind_Speed,Cloud_Cover,Day_of_Week,Month,Holiday,Season,Power_Factor,Region,Time_of_Day,Building_Usage
2015-01-01 00:00:00,604.8039696280159,-5.537863134192092,75.00023159031358,3.0903497344737274,82.83770670442438,3,1,0,Summer,0.8085903976135113,West,Evening,Commercial
2015-01-01 01:00:00,616.203831908063,17.427303137631416,50.00358953642957,7.718850236812262,5.998058180331101,3,1,1,Spring,0.7086523566563786,South,Afternoon,Residential
2015-01-01 02:00:00,671.1554489130422,-9.70885045744774,65.40953351771623,4.419654707006133,76.06528674041627,3,1,0,Fall,0.9710978452654375,West,Morning,Residential
2015-01-01 03:00:00,483.8170153529681,5.750269823101753,38.58533542837559,13.690909187994965,40.12081497915396,3,1,0,Fall,0.956564789801214,South,Afternoon,Commercial
2015-01-01 04:00:00,608.8616044110329,6.5681474418556896,64.67696013725865,2.149323706571793,83.23897329093924,3,1,1,Spring,0.8503806352228085,North,Night,Commercial
2015-01-01 05:00:00,550.2475573971499,0.9074723522046231,74.77217231708033,6.304437949170079,63.90160102848028,3,1,0,Fall,0.995665172465324,South,Evening,Commercial
2015-01-01 06:00:00,562.6792842265638,24.235736387594642,88.41625349108712,17.944355584487838,14.202644702619981,3,1,0,Summer,0.8076080493007779,West,Afternoon,Residential
2015-01-01 07:00:00,591.4572106028012,20.181495574336115,62.53911370338937,4.904319429972997,59.71527998610592,3,1,1,Summer,0.9499000744734748,West,Afternoon,Industrial
2015-01-01 08:00:00,408.2722155556984,0.9808303842193471,60.6859851462301,9.159277044208576,20.66959637431751,3,1,0,Spring,0.7379835465135337,East,Morning,Industrial
2015-01-01 09:00:00,349.97864931434214,9.029954728016733,52.647690765098034,12.1205953994545,68.25694486058134,3,1,0,Winter,0.955171750317287,North,Night,Industrial
2015-01-01 10:00:00,830.5473554802013,20.215890491354784,61.746259022280455,13.328384288122672,41.54706894740714,3,1,0,Spring,0.7362435182347552,West,Morning,Industrial
2015-01-01 11:00:00,684.2718036537077,-3.597444312911332,42.94376605095415,14.764943938592246,31.59082606988498,3,1,0,Fall,0.9422875922132425,South,Night,Commercial
2015-01-01 12:00:00,472.110665562211,-5.236350427630578,69.12515744225149,8.07994543957271,11.975060488802413,3,1,1,Fall,0.848799513943574,East,Night,Industrial
2015-01-01 13:00:00,438.29101818388324,38.581501687082564,59.687340044198365,5.71059493715135,97.10124108731131,3,1,1,Summer,0.8870386068971938,West,Morning,Industrial
2015-01-01 14:00:00,573.8336119215462,18.915476408501057,39.83212748135099,19.34697626695694,31.506263747079867,3,1,1,Summer,0.9704339083468485,West,Morning,Industrial
2015-01-01 15:00:00,420.5370921111622,27.45870676512869,70.45066486010745,11.808868544119946,16.155719784999157,3,1,1,Winter,0.9823245369113005,South,Evening,Commercial
2015-01-01 16:00:00,387.5277007183463,-3.7764587706764354,46.13777811169744,8.775658157397046,70.38873594310473,3,1,0,Winter,0.9555668323374819,East,Morning,Commercial
2015-01-01 17:00:00,540.8207970966065,15.310516836105514,56.70689480024108,1.9263449233604035,52.62844910215622,3,1,0,Fall,0.7614853254513512,South,Night,Residential
2015-01-01 18:00:00,712.896268564086,-4.1614722244798035,44.9670531586574,3.093578691549985,88.25930527766221,3,1,1,Fall,0.9830225229075708,South,Night,Residential
2015-01-01 19:00:00,557.5650592010599,3.4164882383944146,89.31377467448019,9.711040848677401,91.78100827896355,3,1,0,Winter,0.8676476468719773,South,Night,Industrial
2015-01-01 20:00:00,379.49971027903706,8.974976900700703,81.19763958338072,8.344571215354712,96.7125287673579,3,1,1,Winter,0.733025579828463,South,Afternoon,Commercial
2015-01-01 21:00:00,498.5929898887139,38.446081144683355,75.65855378364576,19.181222018786443,22.911095018484538,3,1,0,Fall,0.8135978204724976,East,Night,Commercial
2015-01-01 22:00:00,573.0590609555005,31.156454854816147,86.05637180073326,9.2844374908307,33.83404906127717,3,1,1,Fall,0.7174829302729321,East,Afternoon,Commercial
2015-01-01 23:00:00,611.8962266960234,2.199786278306707,50.0804289784057,19.619488342511342,41.52521782036682,3,1,0,Summer,0.7063066061772695,East,Morning,Industrial
2015-01-02 00:00:00,523.2677937063477,6.717612568013646,39.53730478559072,7.905383221814734,57.2669910280912,4,1,0,Summer,0.7992750606397759,North,Night,Residential
2015-01-02 01:00:00,265.5704207373478,3.4446800793807437,40.5592563523593,4.068986596111797,88.59466693636642,4,1,0,Spring,0.9834742580799487,West,Morning,Residential
2015-01-02 02:00:00,431.77301743620177,16.162181912471898,66.95945212926478,15.850929748402546,33.81263340662901,4,1,0,Spring,0.8437218070176942,East,Evening,Commercial
2015-01-02 03:00:00,711.5288956371144,18.98350880557531,47.07698042378344,13.71853073352307,95.86981574331853,4,1,1,Summer,0.9204811497418822,East,Evening,Commercial
